Product_type,SKU,Price,Availability,Number_of_products_sold,Revenue_generated,Customer_demographics,Stock_levels,Lead_times,Order_quantities,Shipping_times,Shipping_carriers,Shipping_costs,Supplier_name,Location,Lead_time,Production_volumes,Manufacturing_lead_time,Manufacturing_costs,Inspection_results,Defect_rates,Transportation_modes,Routes,Costs,Profit,Total_Cost,Profit_Margin,Delay_Status,Inventory_Ratio,Inventory_Status,Demand_Level,Supplier_Risk_Score,Transport_Efficiency,Month_Number,Date
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,8612.760341012445,49.236451379939126,0.9943158081721779,0,0.6041666666666666,Understock,High Demand,29.226410360849925,0.7391430348577017,1,2021-01-31
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,7417.566721720687,43.33334372516131,0.9941919415425688,0,1.4324324324324325,Normal,High Demand,27.854068026388706,4.858287385715655,2,2021-02-28
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,9539.007127258712,38.742498610016355,0.9959549476522775,0,0.011363636363636364,Understock,Low Demand,16.58059261919923,4.027239630866077,3,2021-03-31
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,7729.482115724564,37.35430996066846,0.9951905373161798,0,0.3898305084745763,Understock,Low Demand,28.74664862064775,0.28826142725723813,4,2021-04-30
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,2590.5494430528634,95.9557085145835,0.9642823284896372,1,0.08928571428571429,Understock,High Demand,8.145579522833001,0.486318489483834,5,2021-05-31
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,2767.1381715539446,61.21057442181409,0.9783581941551918,0,1.3636363636363635,Normal,Low Demand,12.779193511571162,1.481366288127431,6,2021-06-30
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,7818.510727659198,4.965831872539072,0.9993652653222961,1,0.1896551724137931,Understock,Low Demand,15.000910619304136,0.4850954128690004,7,2021-07-31
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,8394.289365701821,101.8144473880169,0.9880163367082271,0,8.454545454545455,Overstock,Medium Demand,22.39817718685065,2.3483387844177805,8,2021-08-31
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,7502.535449634479,14.827760996648722,0.9980275316515665,1,0.3333333333333333,Understock,Low Demand,15.709862691109961,0.48639055101186096,9,2021-09-30
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,4916.0217406595575,55.1242469259998,0.9889111591042262,0,0.1686746987951807,Understock,High Demand,32.84461447876758,7.166645291048216,10,2021-10-31
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,2225.7652380953596,105.20056399658954,0.9548682507902191,0,0.6375,Understock,High Demand,19.727313928355944,4.336605605639306,11,2021-11-30
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,6067.827809370472,32.116306210980355,0.9947349835338748,0,0.7666666666666667,Understock,High Demand,28.021169821372993,4.523943124316663,12,2021-12-31
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,2840.094885797833,33.64656022360855,0.9882917232271572,0,1.1764705882352942,Normal,Medium Demand,5.161253747555913,0.3313185025461305,1,2022-01-31
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,3945.3720830665848,107.36633317128162,0.9735077070996976,1,1.6666666666666667,Normal,Medium Demand,24.63107423007154,1.0596981179009264,2,2022-02-28
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,8645.73971965049,7.831206819312321,0.9990950317636668,0,0.6923076923076923,Understock,Medium Demand,25.100682851565093,0.4079540378898664,3,2022-03-31
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,5342.543463922924,99.54332147474952,0.981708611898317,1,0.13043478260869565,Understock,Medium Demand,16.26440576119855,0.3460056747536006,4,2022-04-30
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,6372.500301092729,81.29766708355551,0.9874031279744988,0,0.02564102564102564,Understock,Medium Demand,4.012563089258049,4.191324585705502,5,2022-05-31
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,2578.131335518674,51.26509932658767,0.980503092402799,1,0.5294117647058824,Understock,Low Demand,7.102020754918176,0.398379884248038,6,2022-06-30
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,9333.226299507218,31.44720556895463,0.996641932518853,1,0.21739130434782608,Understock,Medium Demand,20.231939110729265,0.5424030892638386,7,2022-07-31
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,2466.3796285203825,87.11595647083209,0.965883647113832,0,0.5106382978723404,Understock,Low Demand,23.64645086541703,1.580878627613959,8,2022-08-31
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,8053.463102591776,74.56459425941547,0.9908262376753093,0,0.39705882352941174,Understock,Medium Demand,33.23141657353454,1.47972244182114,9,2022-09-30
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,7019.279083634057,67.77361272337923,0.9904369819687932,0,9.857142857142858,Overstock,Medium Demand,19.018607567631015,1.006313961536383,10,2022-10-31
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,2331.119378022273,59.68848853390039,0.9750341759499569,1,1.126984126984127,Normal,High Demand,24.591275473211116,0.956764892092304,11,2022-11-30
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,8756.832756167634,101.53481484384943,0.9885379767739468,1,2.896551724137931,Overstock,Medium Demand,12.342291562722734,0.4178368001636506,12,2022-12-31
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,8998.954209547688,50.12365139220918,0.9944609105853133,1,2.0,Normal,Low Demand,31.691310292628728,1.217661461160546,1,2023-01-31
